OBJECTID,NA_ID,ACRES,NA_NAME,OWNER,R_RATING,C_RATING,TOP_RATING,DATA_DATE
1806,1876,23.57,White Oak Creek Non-Alluvial Wetland,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1807,2839,171.89,Flowers Swamp,PRV,R5 (General),C5 (General),General,2021/01/22
1808,2838,24.38,Highland Games Road Bay,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
1809,2781,1640.81,Bald Rock/Bruce Ridge,"PRV, USFS",R3 (High),C4 (Moderate),High,2021/01/22
1810,2782,504.25,Bracken Mountain/Wolfpen Cove,"LOCAL, PRV",R3 (High),C4 (Moderate),High,2021/01/22
1811,2783,1581.87,Big Pisgah Mountain/Dismal Falls,USFS,R2 (Very High),C3 (High),Very High,2021/01/22
1812,2784,1086.35,Buckhorn Creek Slopes,"NCFS, PRV",R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
1813,2785,2137.02,Case Camp Ridge/Seniard Mountain,USFS,R3 (High),C4 (Moderate),High,2021/01/22
1814,2786,13.92,Catheys Creek Wetland,PRV,R5 (General),C5 (General),General,2021/01/22
1815,2787,552.06,Dehon Mountain/Sherwood Forest,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1816,2788,348.71,Diamond Creek Natural Area,PRV,R5 (General),C5 (General),General,2021/01/22
1817,2789,270.06,Dunns Rock,PRV,R3 (High),C3 (High),High,2021/01/22
1818,2790,431.06,Gash Creek Headwaters and Slopes,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1819,2792,1039.12,Hogsed Creek Natural Area,PRV,R5 (General),C5 (General),General,2021/01/22
1820,2793,497.08,Jim Raines Mountain/Connestee Falls,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1821,2796,70.28,Little River Wetland Complex,PRV,R2 (Very High),C3 (High),Very High,2021/01/22
1822,2797,1019.5,Pilot Rock/Pilot Cove,USFS,R5 (General),C4 (Moderate),Moderate,2021/01/22
1823,2798,4.43,Pisgah Fish Hatchery Natural Area,USFS,R5 (General),C4 (Moderate),Moderate,2021/01/22
1824,2801,1144.09,Rich Mountain/High Rocks,PRV,R3 (High),C3 (High),High,2021/01/22
1825,2802,64.57,South Fork Flat Creek Wetlands,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1826,2804,2132.34,South Fork Mills River Riparian Area,USFS,R2 (Very High),C2 (Very High),Very High,2021/01/22
1827,2805,47.36,Thompson River Headwater Flats,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
1828,2810,98.02,Toxaway Mountain,"PRV, USFS",R3 (High),C4 (Moderate),High,2021/01/22
1829,2807,37.19,Tucker Creek Flats,USFS,R5 (General),C4 (Moderate),Moderate,2021/01/22
1830,2809,391.15,Richland Ridge Natural Area,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1831,3208,3710.22,Flattop Mountain,USFS,R3 (High),C4 (Moderate),High,2021/01/22
1832,3052,79.51,Spillcorn--Richland Mountain,PRV,R5 (General),C5 (General),General,2021/01/22
1833,3053,379.52,Spillcorn--Locust Knob,PRV,R5 (General),C5 (General),General,2021/01/22
1834,3059,253.31,Max Patch/Roaring Fork Forest,USFS,R2 (Very High),C5 (General),Very High,2021/01/22
1835,3056,122.78,Mars Hill Watershed,LOCAL,R5 (General),C5 (General),General,2021/01/22
1836,3054,152.47,Hot Springs Mountain,USFS,R5 (General),C5 (General),General,2021/01/22
1837,3057,25.97,Forks of Ivy,PRV,R3 (High),C5 (General),High,2021/01/22
1838,979,155.49,New London Ridges,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1839,1369,42.1,Stanly Community College Basic Forest,PRV,R5 (General),C5 (General),General,2021/01/22
1840,1391,19.7,Plank Road Slate Knolls,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1841,69,100.01,Palestine Rare Plant Site,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1842,1558,323.2,Union Chapel Enon Knolls,"PRV,",R2 (Very High),C2 (Very High),Very High,2021/01/22
1843,361,97.04,Dennis Road Ridge,PRV,R5 (General),C5 (General),General,2021/01/22
1844,1683,48.98,Fall Creek Falls,USFS,R5 (General),C5 (General),General,2021/01/22
1845,1620,58.19,Bryson Branch Falls and Cove,"PRV, USFS",R2 (Very High),C3 (High),Very High,2021/01/22
1846,2244,479.61,Brushy Face Mountain/Brooks Creek Waterfall,"PRV, USFS",R3 (High),C3 (High),High,2021/01/22
1847,1869,37.09,Big Creek Falls,USFS,R5 (General),C4 (Moderate),Moderate,2021/01/22
1848,2952,1282.67,Wesser Bald,USFS,R5 (General),C4 (Moderate),Moderate,2021/01/22
1849,2963,471.66,Brushy Ridge,"PRV, USFS",R5 (General),C4 (Moderate),Moderate,2021/01/22
1850,2964,181.69,Bryson Knob,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1851,48,58.91,Pinky Falls/Olive Preserve,"HCLT, PRV",R3 (High),C3 (High),High,2021/01/22
1852,684,4162.89,Standing Indian Mountain,USFS,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1853,2448,4985.31,Burningtown Bald/Cliff Ridge,"PRV, USFS",R2 (Very High),C2 (Very High),Very High,2021/01/22
1854,239,69.97,Hawkins Rockhouse,USFS,R5 (General),C4 (Moderate),Moderate,2021/01/22
1855,578,102.7,Nantahala River Wetlands,USFS,R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
1856,2967,298.59,Corner Knob,"PRV, USFS",R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1857,2969,196.64,Dobson Mountain,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1858,2973,332.24,Hogback Mountain,"PRV, USFS",R5 (General),C4 (Moderate),Moderate,2021/01/22
1859,2975,335.04,Houston Knob,"PRV, USFS",R5 (General),C5 (General),General,2021/01/22
1860,3051,72.21,Flint Mountain Boulderfields,USFS,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
1861,3061,36.75,Bailey Bend Slopes,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1862,3050,166.11,Street Gap Forest,USFS,R5 (General),C5 (General),General,2021/01/22
1863,614,773.59,Hanging Rock Mountain,"NCDPR, PRV",R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
1864,3075,152.83,Little Bald Knob Forest,USFS,R4 (Moderate),C5 (General),Moderate,2021/01/22
1865,3074,392.72,Cane Creek Mountain Connector,PRV,R5 (General),C5 (General),General,2021/01/22
1866,3012,1725.35,Upper Nantahala Gorge,"PRV, USFS",R2 (Very High),C2 (Very High),Very High,2021/01/22
1867,1800,5876.17,Three Top Mountain,"NCWRC, PRV",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1868,880,48.77,Walkers Creek Confluence Forests,PRV,R5 (General),C5 (General),General,2021/01/22
1869,689,1449.85,Kitty Hawk Woods,"LOCAL, NCDCM, PRV",R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
1870,91,8.44,Old Mans Meadow,"NCWRC, PRV",R4 (Moderate),C3 (High),High,2021/01/22
1871,2908,247.43,Amelia Woods and Slopes,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1872,2914,98.02,Elk Creek/New River Bluffs,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1873,2984,1012.79,Ingram Mountain Hardwoods,PRV,R2 (Very High),C3 (High),Very High,2021/01/22
1874,3005,103.72,Jacobs Creek Ravines,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1875,2985,105.43,North Fork Smith Creek Slopes and Ravines,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1876,3004,95.27,Fork Beaver Ponds,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
1877,3008,285.83,Stony Hill Church Hardwoods,PRV,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
1878,2983,727.17,Beaver Pond Road Longleaf Pine Forest,USFWS,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1879,386,791.03,Batchelor Road Flatwoods,PRV,R2 (Very High),C3 (High),Very High,2021/01/22
1880,95,56.19,Maple Hill Limesink Complex,PRV,R5 (General),C5 (General),General,2021/01/22
1881,889,1707.64,Albert Mountain/Pinnacle Mountain,USFS,R3 (High),C4 (Moderate),High,2021/01/22
1882,2971,897.72,Foster Knob/Rockyface Mountain,"PRV, USFS",R3 (High),C4 (Moderate),High,2021/01/22
1883,211,1768.82,Funston Bays,"NCPCP, PRV",R3 (High),C2 (Very High),Very High,2021/01/22
1884,459,141.29,Cedar Mountain,PRV,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1885,1314,166.75,Buzzard Dome/Prickly-Pear Mountain,PRV,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1886,3040,239.73,Gwaltneys Outcrops,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1887,2915,89.75,Alleghany County Fairgrounds,LOCAL,R5 (General),C4 (Moderate),Moderate,2021/01/22
1888,2917,377.67,Little River Slopes,PRV,R3 (High),C5 (General),High,2021/01/22
1889,2921,156.57,Oliver House Bluffs,NCDPR,R2 (Very High),C3 (High),Very High,2021/01/22
1890,2924,21.08,Sheep Rock,PRV,R5 (General),C5 (General),General,2021/01/22
1891,2946,10.38,Polk Huff Road Dry Forest,PRV,R3 (High),C5 (General),High,2021/01/22
1892,1871,2126.62,Eastern Gum Swamp,"NCWRC, PRV",R2 (Very High),C3 (High),Very High,2021/01/22
1893,2557,33.27,Carpenter Creek Heartleaf Site,PRV,R2 (Very High),C5 (General),Very High,2021/01/22
1894,2427,150.31,Royal Oak Swamp Marl Outcrop,"LOCAL, PRV",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1895,1905,4379.97,Bogue Inlet/Bogue Sound Bird Nesting Islands,"NAS, PRV, USDOD",R3 (High),C4 (Moderate),High,2021/01/22
1896,1410,10.11,Abner Bog,USFS,R5 (General),C4 (Moderate),Moderate,2021/01/22
1897,1940,57.56,Rainbow Springs Marsh,PRV,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1898,2988,201.69,Thoroughfare Creek Wetlands,USFWS,R5 (General),C5 (General),General,2021/01/22
1899,2987,471.45,Railroad Island,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1900,3064,41.91,Bluff Valley Wetlands,PRV,R3 (High),C3 (High),High,2021/01/22
1901,488,24.8,White Rock,PRV,R5 (General),C5 (General),General,2021/01/22
1902,3077,196.35,Buck Knob/Fox Mountain,PRV,R5 (General),C5 (General),General,2021/01/22
1903,2287,406.12,Fishing Creek/Arcola Hardwood Forest,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1904,443,16.05,Trails End Lane Post Oak Upland,"NCDOT, PRV",R5 (General),C5 (General),General,2021/01/22
1905,2909,1495.59,Cheek Mountain,"NCDPR, PRV",R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1906,2948,38.19,Emerald Isle Woods,LOCAL,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1907,1658,162.57,Knap of Reeds Creek Diabase Forest and Glades,"NCDA, USACE",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1908,2823,588.68,NEW/Little River Aquatic Habitat,PW,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1909,2966,1067.31,Corbin Knob,"PRV, USFS",R2 (Very High),C3 (High),Very High,2021/01/22
1910,1941,1068.1,Jones Knob/Whiterock Mountain,"PRV, USFS",R2 (Very High),C3 (High),Very High,2021/01/22
1911,1676,141.53,Glen Falls,USFS,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1912,481,40.89,Indian Island,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
1913,1751,2.83,Link Sloan Bog,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1914,2076,2.55,Lambert Bog,PRV,R3 (High),C5 (General),High,2021/01/22
1915,1363,20.77,Siceloff Bog,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1916,469,666.66,NEW/North Fork New River Aquatic Habitat,PW,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1917,2330,1140.55,Cape Fear River/McKay Island Floodplain,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
1918,2938,61.32,Country Line Creek Bluffs,NCWRC,R5 (General),C5 (General),General,2021/01/22
1919,1364,15.67,Turkey Branch Sandhill,PRV,R5 (General),C5 (General),General,2021/01/22
1920,1039,54.33,Deep River/Grassy Creek Slopes,PRV,R5 (General),C5 (General),General,2021/01/22
1921,3065,38.36,Garris Chapel Cypress Pond,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1922,1240,136.53,Battery Island,NCDPR,R2 (Very High),C3 (High),Very High,2021/01/22
1923,1167,22509.53,CPF/Lower Cape Fear River Aquatic Habitat,PW,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1924,3066,92.97,High Knob Rocky Slopes,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1925,2359,21.73,Eno River Mountain Spleenwort and Rhododendron Bluff,NCDPR,R5 (General),C5 (General),General,2021/01/22
1926,1374,14689.34,Stone Mountain State Park and Vicinity,"NCDPR, PRV",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1927,3076,197.01,Smith Grove Church Road,PRV,R5 (General),C5 (General),General,2021/01/22
1928,3079,6178.42,Fort Bragg (Little River Section),USDOD,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1929,3080,18114.24,Fort Bragg (Overhills Section),"PRV, USDOD",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1930,3081,9629.46,Fort Bragg (Northeast  Section),USDOD,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1931,2117,17.77,Barber Hardpan Forest,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
1932,29,18.3,Blewett Falls Lake Basic Mesic Forest,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
1933,60,5578.82,William B. Umstead State Park,NCDPR,R2 (Very High),C3 (High),Very High,2021/01/22
1934,1635,1197.76,Southwest Ridge Savanna,NCWRC,R3 (High),C2 (Very High),Very High,2021/01/22
1935,1070,4.82,Highlands Sixth Street Wetland,"HCLT, PRV",R2 (Very High),C4 (Moderate),Very High,2021/01/22
1936,1006,29.28,Horse Cove Wetland,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1937,9,28.22,Jarrett Creek Wetlands,USFS,R2 (Very High),C3 (High),Very High,2021/01/22
1938,220,762.34,Long Mountain/King Mountain,"LTCNC, NCPCP, PRV, USFS",R3 (High),C3 (High),High,2021/01/22
1939,840,871.42,Piney Pools/Little Muddy Creek,NCWRC,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1940,1687,1316.27,Haw Creek Meanders,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1941,2976,922.43,Jarrett Bald,USFS,R5 (General),C3 (High),High,2021/01/22
1942,2977,50.89,Little Mountain Cedar Glade,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1943,2978,223.09,Little Rocky Mountain,"PRV, USFS",R5 (General),C4 (Moderate),Moderate,2021/01/22
1944,2953,472.59,Trimont Ridge,"PRV, USFS",R3 (High),C4 (Moderate),High,2021/01/22
1945,2474,154.45,Archies Knob,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
1946,2479,282.05,Mountain View Forest,PRV,R5? (General?),C5 (General),General,2021/01/22
1947,1644,945.15,Manchester Sandhills,PRV,R3 (High),C3 (High),High,2021/01/22
1948,1051,7.56,Sand Bag Island Bird Nesting Colony,NCWRC,R5 (General),C5 (General),General,2021/01/22
1949,7,949.14,Swift Creek Swamp Forest,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
1950,2286,780.2,Swift Creek/Gold Rock Swamp Forest,PRV,R5 (General),C5 (General),General,2021/01/22
1951,2139,270.42,Little Green Swamp,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
1952,1530,1092.22,Bullhead Mountain,"NCDPR, PRV, USNPS",R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
1953,333,55.31,Gar Creek Rare Plant Site,"LOCAL, PRV",R5 (General),C5 (General),General,2021/01/22
1954,242,206.45,Barnes Creek Bluffs and Bottomlands,"PRV, USFS",R2 (Very High),C3 (High),Very High,2021/01/22
1955,1622,14.3,Caraway Mountain Sunflower Site,"NCDOT, PRV",R3 (High),C5 (General),High,2021/01/22
1956,298,33.79,Laurel Mill Natural Area,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
1957,120,1079.19,Jessups Mill/Georges Mill Corridor (Dan River),PRV,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
1958,376,279.95,Tabbs Creek Rich Slopes,PRV,R3 (High),C5 (General),High,2021/01/22
1959,2357,20.81,Dry Fork Pocket Creek Forest,PRV,R5? (General?),C5 (General),General,2021/01/22
1960,3016,3737.14,Lower Meherrin River/Potecasi Creek Swamps,NCWRC,R3 (High),C3 (High),High,2021/01/22
1961,2348,104.98,Deep River/Little Governors Creek Forests,"PRV, SALT",R4 (Moderate),C5 (General),Moderate,2021/01/22
1962,1502,2265.67,Cullasaja Gorge,"PRV, USFS",R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
1963,2338,29.45,Center Church Headwaters of Little Governors Creek,PRV,R5 (General),C5 (General),General,2021/01/22
1964,131,310.75,Chimneytop Oak Forests,NCWRC,R5 (General),C5 (General),General,2021/01/22
1965,2927,32.54,Bledsoe Creek Meadow,"LOCAL, NCDOT, PRV",R5 (General),C4 (Moderate),Moderate,2021/01/22
1966,30,65.55,Calvander Laurel Bluff and Bottom,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
1967,780,92.59,Currie Hill,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1968,1584,25.23,Cedar Grove Rare Plant Site,"LOCAL, PRV",R5 (General),C5 (General),General,2021/01/22
1969,1843,39.76,Whitehead Meadow,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1970,2482,14.19,Mills Creek Equisetum Wetland,PRV,R5? (General?),C5 (General),General,2021/01/22
1971,2929,44.73,Woods Meadow,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1972,2601,414.94,Piedmont Community College Hardwood Forest,PCC,R1 (Exceptional),C5 (General),Exceptional,2021/01/22
1973,899,204.92,Long Mountain/Crooked Fork Forest remnant,PRV,R5 (General),C5 (General),General,2021/01/22
1974,1046,988.28,Griers Church Road Ultramafic Forest,"NCWRC, PRV",R2 (Very High),C4 (Moderate),Very High,2021/01/22
1975,2943,63.8,Long Road Mafic Uplands,NCWRC,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1976,1119,14.97,Mulberry Mill Meadow,NCWRC,R5 (General),C5 (General),General,2021/01/22
1977,1171,16.02,Laurel Branch Wetlands,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1978,2164,378.36,Saxapahaw Sloughs and Slopes,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
1979,1685,415.21,Middle Creek Bluffs and Floodplain,PRV,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1980,837,73.1,YAD/Big Bear Creek Aquatic Habitat,PW,R2 (Very High),C4 (Moderate),Very High,2021/01/22
1981,2950,1459.88,YAD/Middle Pee Dee River Aquatic Habitat,PW,R2 (Very High),C3 (High),Very High,2021/01/22
1982,2171,1447.29,Little Creek Bottomlands and Slopes,"PRV, UNCCH, USACE",R5 (General),C5 (General),General,2021/01/22
1983,947,1222.95,Huggins/Dudley Island,"NCDPR, PRV",R2 (Very High),C2 (Very High),Very High,2021/01/22
1984,917,5363.09,Duck Creek/Upper Broad Creek Natural Area,"NCWRC, PRV",R2 (Very High),C2 (Very High),Very High,2021/01/22
1985,2036,69.39,Gull Island,NCWRC,R3 (High),C5 (General),High,2021/01/22
1986,2600,84.08,Hagers Mountain,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
1987,1034,179.09,Bald Rock Mountain,PRV,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1988,366,49.21,Chestnut Mountain,PRV,R3 (High),C3 (High),High,2021/01/22
1989,1265,165.21,Joe/Little Joe Mountains,"HSWLT, PRV",R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
1990,1241,44.97,Little Mountain,PRV,R1 (Exceptional),C3 (High),Exceptional,2021/01/22
1991,2954,1.7,Tessentee Farm Wetlands,LTLT,R5 (General),C4 (Moderate),Moderate,2021/01/22
1992,1213,5.38,Nantahala River Woodland Pond,PRV,R3 (High),C4 (Moderate),High,2021/01/22
1993,1830,523.35,Piney Knob Fork,USFS,R3 (High),C4 (Moderate),High,2021/01/22
1994,2955,640.69,Roaring Fork/Fire Gap Ridge,USFS,R4 (Moderate),C3 (High),High,2021/01/22
1995,2956,1491.64,Richey Knob/Buck Knob,"PRV, USFS",R4 (Moderate),C3 (High),High,2021/01/22
1996,2958,90.2,Onion Mountain,"PRV, USFS",R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
1997,2030,248.79,Mount Olive Church Basic Forest,"LOCAL, PRV",R3 (High),C3 (High),High,2021/01/22
1998,1844,217.34,Timber Ridge,"HCLT, PRV, USFS",R5 (General),C4 (Moderate),Moderate,2021/01/22
1999,362,144.51,Stony Creek Mountain,PRV,R5 (General),C5 (General),General,2021/01/22
2000,3255,314.36,Henry Fork/Brookford Slopes,"LOCAL, PRV",R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
2001,3256,270.25,Thunder Hill,FCNC,R3 (High),C4 (Moderate),High,2021/01/22
2002,3258,47.82,NEU/Contentnea Creek below Wiggins Mill Aquatic Habitat,PW,R4 (Moderate),C3 (High),High,2021/01/22
2003,1279,315.69,Little Scaly Mountain,"PRV, USFS",R2 (Very High),C4 (Moderate),Very High,2021/01/22
2004,39,219.72,Cypress Lakes,PRV,R5 (General),C5 (General),General,2021/01/22
2005,2150,117.25,Boothe Hill,PRV,R5 (General),C5 (General),General,2021/01/22
2006,1860,100.45,Hyco Lake Ultramafic Ravines,PRV,R5 (General),C5 (General),General,2021/01/22
2007,982,377.35,Rocky Face Mountain,"LOCAL, PRV",R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
2008,433,378.29,Sugarloaf Mountain,PRV,R2 (Very High),C3 (High),Very High,2021/01/22
2009,2551,1521.28,Mountain Island Lake Forest,"LOCAL, NCFS, PRV",R2 (Very High),C4 (Moderate),Very High,2021/01/22
2010,3027,43.34,Gadd Creek Cliff,NCWRC,R5 (General),C4 (Moderate),Moderate,2021/01/22
2011,3028,10.79,Cabin Creek Rare Plant Site,PRV,R1 (Exceptional),C5 (General),Exceptional,2021/01/22
2012,2422,486.56,Cross Mountain,PRV,R5 (General),C5 (General),General,2021/01/22
2013,274,318.36,Pretty Pond Limesink Complex,"NCNHP, NCPCP, NSL, PRV",R1 (Exceptional),C2 (Very High),Exceptional,2021/01/22
2014,3030,14.54,Faith Rock,PRV,R5 (General),C5 (General),General,2021/01/22
2015,3031,494.45,Milksick Knob,USFS,R2 (Very High),C4 (Moderate),Very High,2021/01/22
2016,437,2984.2,Cedar Cliff/The Pinnacle,"PRV, USFS",R2 (Very High),C1 (Exceptional),Exceptional,2021/01/22
2017,1113,551.62,Antioch Bay Complex,"PRV, TNC",R1 (Exceptional),C3 (High),Exceptional,2021/01/22
2018,364,4809.08,Maple Swamp Gordonia Forest,PRV,R2 (Very High),C5 (General),Very High,2021/01/22
2019,1,122.82,Rock Hole Creek Natural Area,NCWRC,R2 (Very High),C4 (Moderate),Very High,2021/01/22
2020,2986,82.16,Plank Road Slopes,PRV,R3 (High),C4 (Moderate),High,2021/01/22
2021,2980,63.57,Russell Loop Road Dry Forest,PRV,R5 (General),C5 (General),General,2021/01/22
2022,2989,73.43,Dan River/Caswell Swamp and Levee,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
2023,2990,45.22,Wolf Island Creek/Dan River Slopes,PRV,R3 (High),C4 (Moderate),High,2021/01/22
2024,2991,109.97,Hogans Creek/NC 86 Hardwood Forest,PRV,R3 (High),C4 (Moderate),High,2021/01/22
2025,504,16.74,Cane Creek Slopes,PRV,R3 (High),C4 (Moderate),High,2021/01/22
2026,1078,17.86,South Fork Little River Marsh,PRV,R5 (General),C5 (General),General,2021/01/22
2027,3042,33.23,Third Creek Rare Plant Site,"NCDOT, PRV",R5 (General),C5 (General),General,2021/01/22
2028,3035,324.97,Asbury Mountain,PRV,R2 (Very High),C3 (High),Very High,2021/01/22
2029,3070,89.71,Brushy Mountains/Rocky Creek,PRV,R5 (General),C5 (General),General,2021/01/22
2030,2340,26.37,Cheek Creek Slope,PRV,R5? (General?),C5 (General),General,2021/01/22
2031,2933,20.15,Big Ridge Mine,"CTNC, CWMTF, LOCAL, SAHC",R3 (High),C3 (High),High,2021/01/22
2032,2463,24.79,Drinkwater Creek Wet Hardwood Forest,PRV,R5 (General),C5 (General),General,2021/01/22
2033,962,72.4,Myrtle Head Savanna,TNC,R1 (Exceptional),C1 (Exceptional),Exceptional,2021/01/22
2034,768,53.64,Waterfalls Creek Meadow,PRV,R5 (General),C5 (General),General,2021/01/22
2035,661,130.09,Beulah Church Flatwoods,PRV,R3 (High),C4 (Moderate),High,2021/01/22
2036,545,26.58,Ennice Meadow,PRV,R3 (High),C3 (High),High,2021/01/22
2037,579,44.15,Big Pine Creek Wetlands,"PRV, USNPS",R2 (Very High),C3 (High),Very High,2021/01/22
2038,2928,163.63,Waterfalls Creek Slopes,PRV,R5 (General),C5 (General),General,2021/01/22
2039,1182,15.37,Berryhill Rhododendron Bluff,TLC,R5 (General),C5 (General),General,2021/01/22
2040,2175,102.81,Steep Bottom Branch Slopes,"PRV, TLC",R5 (General),C5 (General),General,2021/01/22
2041,3068,83.84,Gilreath Road Rare Plant Site,PRV,R5? (General?),C? (Unranked),Unranked,2021/01/22
2042,3038,72.71,Little Sugarloaf Mountain,PRV,R3 (High),C4 (Moderate),High,2021/01/22
2043,3069,112.52,Lookout Shoals Rich Slopes,PRV,R5 (General),C5 (General),General,2021/01/22
2044,3242,30.39,Emerald Isle Archers Creek,PRV,R4 (Moderate),C5 (General),Moderate,2021/01/22
2045,3236,193.44,Kellys Pond,PRV,R5 (General),C5 (General),General,2021/01/22
2046,3237,118.33,Middle Creek--Barber Bridge Floodplain,LOCAL,R4 (Moderate),C4 (Moderate),Moderate,2021/01/22
2047,3206,2779.86,South Mountains North Slope,"FCNC, NCDPR, PRV",R2 (Very High),C1 (Exceptional),Exceptional,2021/01/22
2048,3219,627.86,Marshall Watershed,LOCAL,R5 (General),C4 (Moderate),Moderate,2021/01/22
2049,3241,1048.94,Lower Big Colly Swamp,PRV,R5 (General),C5 (General),General,2021/01/22
2050,3247,68.55,SAV/Horsepasture River Aquatic Habitat,PW,R1 (Exceptional),C4 (Moderate),Exceptional,2021/01/22
2051,3223,17.68,Marcus Grove Sandhills,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
2052,3245,89.43,Young Pisgah Mountain,"PRV, USFS",R5 (General),C5 (General),General,2021/01/22
2053,3222,3.45,Buck Branch Limesink,TCF,R5 (General),C4 (Moderate),Moderate,2021/01/22
2054,3188,2.68,Lee Creek Seep,USFS,R2 (Very High),C4 (Moderate),Very High,2021/01/22
2055,3239,108.11,Eagle Springs Sandhills,PRV,R5 (General),C4 (Moderate),Moderate,2021/01/22
2056,3221,106.06,Lewis Swamp,TCF,R3 (High),C4 (Moderate),High,2021/01/22
2057,3224,55.42,Shorty Top,USFS,R2 (Very High),C4 (Moderate),Very High,2021/01/22
2058,3215,1089.93,Cataloochee Divide,"CWMTF, NCWRC, PRV",R3 (High),C2 (Very High),Very High,2021/01/22
